scenario,model,precision,recall,f1_score,TP,FP,FN,TN,total
ehrshot,deepseek_r1,0.08460304731355253,0.7902621722846442,0.15284317276349152,211,2283,56,450,3000
ehrshot,o3_mini_2025_01_31,0.09447236180904522,0.352059925093633,0.14896988906497624,94,901,173,1832,3000
n2c2_ct_matching,deepseek_r1,0.7962962962962963,0.8686868686868687,0.8309178743961353,86,22,13,137,258
n2c2_ct_matching,o3_mini_2025_01_31,0.839622641509434,0.898989898989899,0.8682926829268292,89,17,10,142,258
ehrshot,claude_3_5_sonnet_20241022,0.07747196738022426,0.5692883895131086,0.1363840287124271,152,1810,115,923,3000
ehrshot,claude_3_7_sonnet_20250219,0.07441574415744158,0.45318352059925093,0.1278394083465399,121,1505,146,1228,3000
ehrshot,gemini_1.5_pro_001,0.09145129224652088,0.5168539325842697,0.1554054054054054,138,1371,129,1362,3000
ehrshot,gemini_2.0_flash_001,0.0967741935483871,0.550561797752809,0.16461366181410972,147,1372,120,1361,3000
ehrshot,llama_3.3_70b_instruct,0.12121212121212122,0.4794007490636704,0.19349962207105068,128,928,139,1805,3000
ehrshot,gpt_4o_2024_05_13,0.07832699619771863,0.3857677902621723,0.1302149178255373,103,1212,164,1521,3000
ehrshot,gpt_4o_mini_2024_07_18,0.11764705882352941,0.00749063670411985,0.014084507042253521,2,15,265,2718,3000
n2c2_ct_matching,claude_3_5_sonnet_20241022,0.7592592592592593,0.8282828282828283,0.7922705314009661,82,26,17,133,258
n2c2_ct_matching,claude_3_7_sonnet_20250219,0.7217391304347827,0.8383838383838383,0.7757009345794392,83,32,16,127,258
n2c2_ct_matching,gemini_1.5_pro_001,0.6771653543307087,0.8686868686868687,0.7610619469026549,86,41,13,118,258
n2c2_ct_matching,gemini_2.0_flash_001,0.5792682926829268,0.9595959595959596,0.7224334600760455,95,69,4,90,258
n2c2_ct_matching,llama_3.3_70b_instruct,0.8072289156626506,0.6767676767676768,0.7362637362637363,67,16,32,143,258
n2c2_ct_matching,gpt_4o_2024_05_13,0.7570093457943925,0.8181818181818182,0.7864077669902914,81,26,18,133,258
n2c2_ct_matching,gpt_4o_mini_2024_07_18,0.656934306569343,0.9090909090909091,0.7627118644067796,90,47,9,112,258
race_based_med,deepseek_r1,0.9487179487179487,0.8809523809523809,0.9135802469135802,74,4,10,79,167
race_based_med,o3_mini_2025_01_31,0.9315068493150684,0.8095238095238095,0.8662420382165604,68,5,16,78,167
race_based_med,claude_3_5_sonnet_20241022,0.8484848484848485,0.6666666666666666,0.7466666666666666,56,10,28,73,167
race_based_med,claude_3_7_sonnet_20250219,0.9655172413793104,0.3333333333333333,0.495575221238938,28,1,56,82,167
race_based_med,gemini_1.5_pro_001,0.9821428571428571,0.6547619047619048,0.7857142857142857,55,1,29,82,167
race_based_med,gemini_2.0_flash_001,0.9054054054054054,0.7976190476190477,0.8481012658227848,67,7,17,76,167
race_based_med,llama_3.3_70b_instruct,1.0,0.14285714285714285,0.25,12,0,72,83,167
race_based_med,gpt_4o_2024_05_13,0.9036144578313253,0.8928571428571429,0.8982035928143712,75,8,9,75,167
race_based_med,gpt_4o_mini_2024_07_18,0.9411764705882353,0.5714285714285714,0.7111111111111111,48,3,36,80,167
